time,CPU,memory,cpu_temp,output
2023-07-09 18:40:29.573057,13.4,74.6,,0
2023-07-09 18:40:31.737426,4.7,74.6,29.2,0
2023-07-09 18:40:33.779251,5.1,74.7,29.2,0
2023-07-09 18:40:35.800580,37.3,75.0,29.2,0
2023-07-09 18:40:37.897204,13.0,75.1,29.2,0
2023-07-09 18:40:39.946133,1.9,75.0,29.2,0
2023-07-09 18:40:41.988943,19.6,75.0,29.2,0
2023-07-09 18:40:44.027912,3.5,74.8,29.2,0
2023-07-09 18:40:46.065952,2.0,74.7,29.2,0
2023-07-09 18:40:48.087788,4.6,74.6,29.2,0
2023-07-09 18:40:50.126858,8.1,74.6,29.2,0
2023-07-09 18:40:52.156796,21.2,74.6,29.2,0
2023-07-09 18:40:54.196681,8.0,74.6,29.2,0
2023-07-09 18:40:56.226614,1.2,74.4,29.2,0
2023-07-09 18:40:58.259504,4.6,74.4,29.2,0
2023-07-09 18:41:00.297479,5.1,74.4,29.2,0
2023-07-09 18:41:02.331366,27.7,74.0,29.2,0
2023-07-09 18:41:04.368389,3.5,74.1,29.2,0
2023-07-09 18:41:06.399274,1.9,73.9,29.2,0
2023-07-09 18:41:08.427224,6.5,74.0,29.2,0
2023-07-09 18:41:10.460071,7.7,74.0,29.2,0
2023-07-09 18:41:12.487068,17.5,73.8,29.2,0
2023-07-09 18:41:14.504867,3.5,74.0,29.2,0
2023-07-09 18:41:16.539887,0.4,73.9,29.2,0
2023-07-09 18:41:18.607661,24.9,74.1,29.2,0
2023-07-09 18:41:20.644778,12.8,74.2,29.2,0
2023-07-09 18:41:22.685583,19.1,74.2,29.2,0
2023-07-09 18:41:24.714349,6.6,74.2,29.2,0
2023-07-09 18:41:26.747305,99.0,76.7,29.2,0
2023-07-09 18:41:29.475176,100.0,83.2,29.2,0
2023-07-09 18:41:32.497987,100.0,84.4,29.2,0
2023-07-09 18:41:34.586240,100.0,85.5,29.2,1
2023-07-09 18:41:36.622017,100.0,86.9,29.2,0
2023-07-09 18:41:38.740279,100.0,87.5,29.2,0
2023-07-09 18:41:40.775764,97.7,86.5,29.2,0
2023-07-09 18:41:42.804270,62.3,86.6,29.2,0
2023-07-09 18:41:44.823788,94.6,87.1,29.2,0
2023-07-09 18:41:47.032513,36.8,86.9,29.2,0
2023-07-09 18:41:49.061807,7.8,87.0,29.2,0
2023-07-09 18:41:51.103800,80.1,87.3,29.2,0
2023-07-09 18:41:53.128316,87.2,87.6,29.2,0
2023-07-09 18:41:55.158547,10.9,87.4,29.2,0
2023-07-09 18:41:57.182508,9.6,87.4,29.2,0
2023-07-09 18:41:59.214435,24.6,85.7,29.2,0
2023-07-09 18:42:01.261564,12.8,85.7,29.2,0
2023-07-09 18:42:03.294286,6.6,85.6,29.2,0
2023-07-09 18:42:05.340532,23.8,85.2,29.2,0
2023-07-09 18:42:07.368935,17.2,85.1,29.3,0
2023-07-09 18:42:09.403922,27.3,84.7,29.3,0
2023-07-09 18:42:11.443066,19.8,84.4,29.3,0
2023-07-09 18:42:13.472805,12.5,84.3,29.3,0
2023-07-09 18:42:15.519401,35.9,84.8,29.3,0
2023-07-09 18:42:17.544493,49.0,85.1,29.3,0
2023-07-09 18:42:19.598599,25.4,86.6,29.3,0
2023-07-09 18:42:21.621294,59.8,87.3,29.3,0
2023-07-09 18:42:23.636091,33.5,86.8,29.3,0
2023-07-09 18:42:25.664649,15.6,85.9,29.3,0
